mean_mfcc_0,mean_mfcc_1,mean_mfcc_2,mean_mfcc_3,mean_mfcc_4,mean_mfcc_5,mean_mfcc_6,mean_mfcc_7,mean_mfcc_8,mean_mfcc_9,mean_mfcc_10,mean_mfcc_11,mean_mfcc_12,std_mfcc_0,std_mfcc_1,std_mfcc_2,std_mfcc_3,std_mfcc_4,std_mfcc_5,std_mfcc_6,std_mfcc_7,std_mfcc_8,std_mfcc_9,std_mfcc_10,std_mfcc_11,std_mfcc_12,mean_delta_0,mean_delta_1,mean_delta_2,mean_delta_3,mean_delta_4,mean_delta_5,mean_delta_6,mean_delta_7,mean_delta_8,mean_delta_9,mean_delta_10,mean_delta_11,mean_delta_12,std_delta_0,std_delta_1,std_delta_2,std_delta_3,std_delta_4,std_delta_5,std_delta_6,std_delta_7,std_delta_8,std_delta_9,std_delta_10,std_delta_11,std_delta_12,mean_delta2_0,mean_delta2_1,mean_delta2_2,mean_delta2_3,mean_delta2_4,mean_delta2_5,mean_delta2_6,mean_delta2_7,mean_delta2_8,mean_delta2_9,mean_delta2_10,mean_delta2_11,mean_delta2_12,std_delta2_0,std_delta2_1,std_delta2_2,std_delta2_3,std_delta2_4,std_delta2_5,std_delta2_6,std_delta2_7,std_delta2_8,std_delta2_9,std_delta2_10,std_delta2_11,std_delta2_12,zcr_mean,zcr_std,rms_mean,rms_std,spec_centroid_mean,spec_centroid_std,spec_bandwidth_mean,spec_bandwidth_std,pitch_mean,pitch_std,speaker,file
-483.68314,109.5462,17.086771,21.698008,19.672419,25.679035,8.0018215,-8.874509,-4.6677594,-11.046403,1.3203167,-0.40271553,-8.498479,119.69724,43.689373,26.420021,19.005768,13.192426,11.30675,9.6464205,19.469559,13.963913,13.80484,8.639236,8.862034,10.929951,0.32471994,0.33282748,0.12689584,0.049920462,0.07219812,0.08824257,0.064146765,0.036174156,0.019420948,0.0007709073,2.8722523e-05,0.013655931,0.017074306,12.533091,6.738965,4.550217,2.8468523,2.2013052,1.8240225,1.6024731,2.1874204,1.9413102,1.5377573,1.6167303,1.5039872,1.3791136,-0.042789426,-0.0071870945,0.03543561,0.003456158,-0.019854978,-0.018245595,0.0039718407,0.016270472,0.0011755452,-0.00028460912,0.0033491042,0.0020347224,0.0035630562,6.644991,3.666761,2.240667,1.419968,1.3111093,1.0378212,0.9339717,1.2779604,1.0996718,0.85397017,0.9216919,0.8252801,0.7586251,0.03445965763651877,0.040542988382128005,0.01934477,0.022890825,2333.9678605138283,1485.454724271745,3468.7286273096497,1168.8372016155488,178.92751302630458,98.60595820745291,p01,b1.m4a
-484.97104,97.97203,20.989687,22.49712,18.068136,26.325779,5.282412,-10.489371,-3.8276725,-3.7198973,5.575408,-1.5343211,-9.734458,116.286896,44.319275,29.745176,21.676601,12.7561,13.671155,12.740045,22.330076,14.187797,10.848286,8.861978,9.357456,12.562464,0.27932152,0.27424666,0.08105077,0.031662315,0.0720993,0.06415149,0.021800539,0.0074038836,0.0027293905,-0.012614322,-0.008490908,0.017347332,0.028328195,10.812806,6.8767715,5.029793,3.022622,2.1008828,1.633402,1.6220708,2.2358375,1.9469935,1.395842,1.8485916,1.4664968,1.2939724,0.008298047,-0.0067117857,-0.025981613,-0.010834835,0.007833727,0.0010808306,-0.008243809,-0.0015067848,0.003060733,-0.002334263,0.00039160965,0.01068622,0.008402542,6.194163,3.6709676,2.3714309,1.3984789,1.1356719,0.90793544,0.8893155,1.2664554,1.2696378,0.7260744,1.0291259,0.8577102,0.812635,0.03765281094269103,0.044915598770997295,0.018603329,0.02324644,2372.3794157646116,1715.3827198986678,3446.4909149096543,1254.2862612059962,177.75248698489514,95.62606054509548,p01,b2.m4a
-468.35782,104.06411,20.988873,23.103,19.015566,24.89338,8.409214,-12.023784,-7.317488,-9.363331,3.2955136,-0.7025477,-10.542365,117.31627,49.91828,30.722279,21.666342,13.832558,12.134261,10.591628,19.651022,14.107103,13.190412,8.713014,10.82656,11.733483,0.30433303,0.34971553,0.19033144,0.088759854,0.0728579,0.07557907,0.05576487,0.029743358,0.014685156,0.0073034847,0.0067322976,0.014600593,0.021026775,11.679142,7.241447,5.720309,3.2654269,2.25212,1.6210128,1.7273892,2.1782694,1.8381348,1.465634,1.6902992,1.8301619,1.3839002,-0.011603763,-0.0065254904,0.0084060365,0.010158058,0.0044487007,0.0016079005,-0.0023960227,-0.0076046814,-0.002033127,0.012830717,0.01680481,0.002707034,-0.012302269,6.5874696,3.944157,2.7711833,1.6476958,1.4714264,1.0161859,0.95775765,1.2081013,1.119719,0.76416856,1.0609597,0.99125874,0.8033288,0.030330882352941176,0.03670078480202647,0.025497964,0.02950569,2185.7425011113646,1570.603487000984,3300.664361048772,1178.147263367188,184.57518922126158,100.03883914691933,p01,b3.m4a
-507.73337,102.970276,29.186754,31.847267,20.140907,17.596516,0.50421816,-6.921735,1.7612274,-1.4726619,5.4411016,-1.2205715,0.23426853,90.09921,46.24687,19.422483,23.029516,17.963472,13.031046,15.561349,17.410656,12.206143,12.611054,7.3407197,11.954965,8.301641,0.5688483,0.3938086,0.09342089,0.076080196,0.05570137,0.049902633,0.050681833,0.049599413,0.036891952,0.032716878,0.031416103,0.029258078,0.022937536,12.778871,7.367488,3.5758166,3.527226,3.6266086,2.232005,3.02122,2.6407824,2.2811227,2.3429945,1.4558142,2.2873166,1.400811,0.09953899,-0.015083301,-0.019243024,0.014778942,-5.5597353e-05,0.0041020494,-0.0015271301,-0.0014733424,-0.00532609,-0.0074000014,-0.0034575935,-8.912638e-05,0.0036176327,7.7433558,3.4610221,2.0773244,1.6336852,1.5591406,1.3191112,1.6323136,1.7202661,1.3027444,1.4542849,0.9595114,1.2515565,0.77343464,0.040127469968662954,0.06082403986496004,0.014342923,0.01710761,2612.4689077942826,2063.8537568571483,3661.3092585391614,1550.855167628696,145.26115627044797,121.81825333629398,p02,e1.m4a
-496.91998,98.86151,32.83177,31.29865,17.790024,11.630604,-3.8713756,-4.1725316,3.5620573,-0.015072706,3.5469723,-1.9703362,2.8671432,79.19925,41.67343,18.379896,22.251257,16.920649,9.465521,16.578873,14.086244,10.406611,10.003613,7.254806,11.999114,6.0211773,0.23556125,0.24603283,0.10218998,0.042380977,0.04292805,0.032020185,0.0074368776,0.008706845,0.018709987,0.011621371,0.015114872,0.023481527,0.015409469,10.957982,6.6666765,3.2887414,3.4529133,3.5563974,1.6750172,2.7742457,2.0867624,2.1152673,2.009441,1.4644907,2.1881843,1.0207702,-0.0077521405,-0.0052841944,0.0023566482,0.001711362,0.00025526554,-2.4035694e-07,-0.0066603175,-0.008125026,0.0025427383,0.008795271,0.0035344819,-0.003235282,-0.0018053543,6.577788,3.257755,2.0908499,1.5911993,1.6100197,0.96859145,1.5340849,1.427439,1.1053835,1.2787063,0.88037664,1.1873888,0.7011152,0.036232056656504065,0.05775964126445973,0.012852713,0.016270824,2395.0310543017795,1781.8476445724837,3525.67908117639,1324.0713694844185,157.48185833888735,129.76427902438743,p02,e2.m4a
-523.5988,100.20349,34.40724,33.980625,13.542526,15.485591,2.1499581,3.6426706,3.9605443,-3.5481286,0.7083151,-1.8850558,3.0623415,72.42001,39.533848,17.355438,23.005047,18.825787,13.094037,17.360476,9.695536,11.293739,12.262457,7.7239823,11.7669,7.631725,0.3222493,0.30505762,0.09122961,0.064083494,0.108636536,0.08953664,0.03856277,0.017210236,0.032463707,0.039412104,0.01750101,0.0056152847,0.02135686,10.761512,6.4337864,3.302894,3.6583247,3.6663797,2.1921072,3.195396,1.7933407,2.237339,2.2415996,1.3470136,2.1237092,1.2105083,0.0081319995,0.02336815,0.016231332,-0.008782552,0.005549407,0.015889518,-0.0041923877,0.007539738,0.0261817,0.0061275633,0.0025288963,0.015686058,-0.0014811539,6.6272607,3.314358,2.168473,1.8076521,1.8581798,1.290296,1.7338238,1.1603028,1.2868649,1.3300663,1.0120054,1.2862272,0.80287755,0.03794312543523677,0.057481513575489744,0.010506768,0.013696564,2321.1831655098836,1616.7829120846607,3378.893307020631,1026.768350786432,167.78992034172535,123.93985914136029,p02,e3.m4a
-558.36566,131.69907,25.135214,24.761776,18.340015,20.963373,0.111390054,4.180208,8.713395,-2.0721056,6.771184,5.0341997,-1.9929562,97.33494,43.40048,14.325435,16.082687,11.79354,10.490604,15.101157,7.938751,8.972048,12.329014,5.9261985,7.495354,9.832269,1.4248813,0.40564045,0.24060541,0.13386366,0.14442094,0.18917206,0.1587176,-0.00090821413,0.15086013,-0.04304235,-0.005433297,0.06681701,0.04257819,8.77288,4.7115016,2.2420566,2.4534092,1.9329581,1.3974018,2.1452098,1.4565914,1.3879627,2.0515792,1.0632689,1.3204979,1.2810102,0.25082827,-0.06123464,0.065695554,0.036084533,0.030965444,0.030998256,0.020086903,-0.0050156564,0.05713222,-0.01807741,0.007712744,0.039559525,0.021614393,4.0377183,2.240704,1.4033016,1.3943641,1.0555441,0.9038694,1.1021999,0.84745497,0.90592027,0.7815859,0.7203987,0.8279715,0.7693341,0.014901717078877006,0.014328237637447594,0.01116842,0.015250461,1750.9092605933924,1305.0094480386172,3063.811503201027,1114.2912177016474,123.13368620644349,83.88478930983496,p03,x1.m4a
-531.7425,121.474785,22.676786,28.317862,20.986,20.41574,-1.4620601,0.48485032,8.0667925,-3.6101089,7.543476,4.081112,-1.3106202,111.984665,44.890144,17.753025,21.861952,14.482187,12.187783,15.391953,8.620218,8.919787,16.354506,8.038426,8.590117,8.703386,1.3327436,0.49052146,0.22561486,0.10304078,0.11432358,0.1489956,0.1795632,-0.012470248,0.11678072,0.056612168,0.0132212,0.08288174,0.034761265,9.641157,3.961359,2.6506934,3.3898518,2.2221503,1.7926486,1.9076966,1.5431964,1.4612765,2.634703,1.5801526,1.4480671,1.5293505,0.036881465,0.038174834,0.034374204,0.020861879,0.020850604,-0.01457506,0.009408921,0.017965736,0.0072235176,-0.017122736,-0.003622896,-0.0036624598,0.011299128,4.1620545,1.8910027,1.2506425,1.5584644,1.2957995,1.0167739,0.96887445,0.9882708,0.9474299,1.1258531,0.89815694,0.7037565,0.80397403,0.019189160741017963,0.020299335289814233,0.0138227055,0.018250726,1939.6195441839302,1180.2132452727067,3208.0612600623467,1095.7993246005944,123.37207193631802,100.40882149622426,p03,x2.m4a
-521.38983,119.66744,26.838776,23.967249,23.146362,22.644377,1.1514363,-1.0511613,3.6470015,-5.1881227,6.7501636,2.588265,-3.5413456,111.06877,41.04798,16.206272,17.680395,13.893069,12.52633,13.35026,9.986655,7.551771,13.579906,8.451834,7.5579824,11.791537,0.6472448,0.48415205,0.074220926,0.06480524,0.08648094,0.08283754,0.06614048,0.03444026,0.028661687,-0.02128128,0.014259916,0.0077146133,0.021379806,8.605997,4.373898,2.5907614,2.4969878,2.117232,1.8560833,2.2908132,1.427314,1.2599833,1.8684756,1.3920952,1.182072,1.5464063,0.08371323,0.01753667,-0.035562504,0.018704971,0.02668337,0.027982319,0.037092723,0.02250925,0.0016191241,-0.014479314,0.00046202348,0.001835844,0.009525374,3.6539311,2.4334774,1.280269,1.2439717,1.2257245,1.0173694,1.2882373,0.8626029,0.7966956,1.0066787,0.8035953,0.7316608,0.812059,0.019986001207081546,0.01704487532470955,0.016437342,0.025533514,1936.3018378372226,1083.7391683770668,3279.8299170486816,968.4796135401511,124.92654137508264,86.08274657717341,p03,x3.m4a
-495.2427,114.155334,34.89091,23.86559,14.399291,21.038912,14.376348,2.79432,4.801033,-1.5103567,1.955846,-0.060505,-0.39431223,109.84758,41.950535,17.785675,14.712617,12.767383,13.137764,11.823344,9.368537,8.038929,10.45555,5.9431534,6.54254,6.1474576,0.2629198,0.29998493,0.1490068,0.054845084,0.049403343,0.05357406,0.048035353,0.04218929,0.027806213,0.013013527,-0.0056575057,-0.013933187,0.0016674739,10.680278,5.3099766,2.7176874,1.9148694,2.1240292,2.0625517,2.2483735,1.2495378,1.211098,1.480782,0.91980624,1.1955445,0.8849345,0.0045550526,0.007316141,0.019290103,0.02502792,0.010617995,0.001517699,-0.002427678,-0.0010081966,0.0064222724,0.001940277,-0.0014335876,-0.0027535427,-0.012987117,6.7767234,2.6850507,1.8058957,1.191582,1.3991857,1.2136061,1.311635,0.96298814,0.8148425,0.9745405,0.69058406,0.6914252,0.57142127,0.029128980185331232,0.056163101652960165,0.0180954,0.027172904,1934.1328112371232,1510.5859506753236,3133.3847618626614,923.8258600330602,120.97126628339541,69.9044995860606,p04,j1.m4a
