,discriminability_score
spec_bandwidth_mean,46.250342067894664
mean_mfcc_0,28.500768219470753
mean_delta2_3,20.427457163404252
mean_mfcc_5,15.632041689692617
mean_delta_0,13.592489275650726
mean_delta2_0,12.561132915318478
mean_mfcc_6,10.87870369394413
spec_bandwidth_std,10.528180642573977
mean_mfcc_1,9.91976250798243
rms_mean,9.853232390272828
mean_mfcc_3,9.708000124149201
pitch_mean,8.002004683951577
mean_mfcc_8,7.4746319217386645
mean_delta2_5,6.799451877001497
std_mfcc_8,6.335379601031604
std_delta2_3,5.976955842163895
mean_mfcc_2,5.366258094972119
mean_mfcc_12,5.2266484514304645
mean_delta_8,5.158494244263208
std_mfcc_11,4.962844986627426
std_mfcc_12,4.941166360609856
std_delta2_12,4.81547876775489
mean_mfcc_9,4.766310032777223
rms_std,4.589187019954149
mean_delta_5,4.2860558757913685
std_delta_6,4.126827415527817
std_mfcc_7,4.12381334104158
zcr_mean,3.8834417763155744
pitch_std,3.715271462421037
std_delta2_11,3.6329873457510167
std_delta2_6,3.564233237159847
std_mfcc_6,3.358541039482758
mean_mfcc_10,3.2814276867024916
std_mfcc_2,3.149328199185448
mean_mfcc_7,3.1287034823179183
std_delta2_5,3.077007761061835
spec_centroid_mean,3.017301120843833
std_delta_10,2.908202369860443
std_mfcc_0,2.8708743460831547
mean_delta_7,2.843022437087925
std_delta2_2,2.7719461810657036
std_delta_2,2.761163683132628
std_delta_8,2.4625589856659897
std_mfcc_3,2.3447761215664658
std_delta2_1,2.279965286281423
mean_delta_9,2.2504943827036508
std_delta2_4,2.2105006430926997
std_delta_12,2.1044366763035995
std_mfcc_9,2.0287813768221246
mean_delta2_2,1.926222583733866
mean_delta_6,1.8480319799400313
std_delta2_9,1.8439791704756088
std_delta_4,1.8343346506950686
mean_delta_1,1.7066503593261217
zcr_std,1.5522026635413866
mean_delta_11,1.4828510881205097
std_delta2_7,1.4663289890665854
mean_delta_12,1.4359310664966842
spec_centroid_std,1.4194526690954508
std_delta_3,1.3821566283854319
mean_mfcc_11,1.3506418838115029
mean_delta_2,1.2400143294825947
std_delta2_0,1.2290104190995685
mean_delta2_4,1.2081923983800291
std_delta_7,1.1651830543099548
std_delta_11,1.0769075921454039
std_delta_1,0.8548588107679025
mean_delta_10,0.8402919290337671
std_delta_9,0.8382552654477317
mean_delta2_9,0.8252830332736367
mean_delta_3,0.8162599038338045
std_delta_0,0.7388619228911988
mean_mfcc_4,0.7362687115889532
mean_delta2_6,0.7352661646391047
mean_delta2_8,0.7163632156070305
std_mfcc_4,0.7091490335027522
mean_delta2_12,0.6833948639221608
std_mfcc_1,0.6311977956256418
std_delta2_8,0.6109015761536266
std_mfcc_10,0.4645387577237863
std_delta2_10,0.4544536341254291
std_delta_5,0.44113351167392706
mean_delta2_10,0.4185255720390284
mean_delta_4,0.4017726446580756
mean_delta2_7,0.2836405577968994
std_mfcc_5,0.27837730336369554
mean_delta2_1,0.2296416576118307
mean_delta2_11,0.12187303413145407
